AccountName,RacsAssetId,Manufacturer,ParentAssetid,SerialNumber,InstanceNumber,ParentChild,PartNumber,Quantity,AssetDescription,IpAddress,DnsName,SlotMacAddress,AssetShipDate,AssetAddDate,ResellerHardwarePoNumber,DistributorHardwarePoNumber,ProductFamily,ArchitectureGroup,ArchitectureSubgroup,ProductType,ProductCategory,ProductSupportPage,EndOfSaleDate,EndOfSupportDate,EndOfSupportRange,WarrantyEndDate,LocationGroup,LocationName,SiteId,LocationLabel,LocationAddress1,LocationAddress2,LocationAddress3,LocationCity,LocationStateProvince,LocationPostalCode,LocationCountry,Decommissioned,ContractNumber,AssetCovered,CoverageStatus,ServiceLevel,ServiceLevelDescription,Sla,MapsToServiceSku,MaintenanceStartDate,MaintenanceEndDate,BillToId,ContractCurrency,ContractListPrice,ContractCustomerCost,ResellerMaintenancePoNumber,MaintenanceCatalogPrice,PoNumber,ManufacturerHardwareSoNumber,ProductListPrice,ProfileApprovedLocations,ProfileApprovedSiteNames,ProfileApprovedServiceLevel,ProfilePreferredEndDate,ProfilePreferredServiceLevel,AiUnapprovedLocation,ProfileCriticalAssets,CpTargetContracts,ProfileLocationCoverageExclusions,ProfileReasonLocationCoverageExclusions,ProfileProductCoverageExclusions,ProfileReasonProductCoverageExclusions,ProfileProductRefreshExclusions,ProfileReasonProductRefreshExclusions,ProfileRenewalExclusions,ProfileReasonRenewalExclusions,AssetCoverageStatus,PurchaseOrderDate,CiscoUnmappedToServiceSkuAndUncovered,InvalidAsset,InvalidCiscoProductId,UncoveredAndPastEos,RacsClientId,Updatedby,Updatedon
Demo,75079402,Cisco,-,FVH123456,123456789,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079403,Cisco,-,FVH123457,123456790,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079404,Cisco,-,FVH123458,123456791,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079405,Cisco,-,FVH123459,123456792,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079406,Cisco,-,FVH123460,123456793,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079407,Cisco,-,FVH123461,123456794,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079408,Cisco,-,FVH123462,123456795,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079409,Cisco,-,FVH123463,123456796,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079410,Cisco,-,FVH123464,123456797,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
Demo,75079411,Cisco,-,FVH123465,123456798,Parent,C9300-48H-A,1,"Catalyst 9300 48-port UPoE+, Network Advantage",,,,No Ship Date Available,00:00.0,,,C9300,ENTERPRISE SWITCHING,ENT. SWITCHING - ACCESS,CHASSIS,-,-,-,-,Not Defined,12/11/2034 0:00,OTHER PARTNER,,-,LONDON - CASTLEWOOD HOUSE,CASTLEWOOD HOUSE,,,LONDON,LONDON,WC1A 1DT,UNITED KINGDOM,No,Other Partner,Covered,Active,SNT,SMARTnet 8x5xNBD,Vendor,Yes,1/1/1900 0:00,9/10/2027 0:00,Other Partner,,1086.75,0,,1086.75,,,13632.7,N/A,N/A,N/A,,-,0,No,No,No,-,No,-,No,-,No,-,Active,-,Include,0,0,Include,14327,NULL,NULL
